,doc_1.txt,doc_10.txt,doc_17.txt,doc_18.txt,doc_2.txt,doc_21.txt,doc_22.txt,doc_23.txt,doc_24.txt,doc_25.txt,doc_27.txt,doc_28.txt,doc_29.txt,doc_3.txt,doc_4.txt,doc_5.txt,doc_6.txt,doc_7.txt,doc_8.txt,doc_9.txt
doc_1.txt,0.999999999999999,0.09357611117039102,0.02229524961920669,0.02089852019842331,0.071865925864422,0.07865203091598504,0.04975251005546744,0.09560583095204475,0.10418813390074629,0.03471500128491725,0.05064289993903555,0.026336967225970495,0.06077254397627316,0.07345110328653208,0.21834379834110884,0.3967093655145048,0.09433183931091894,0.030334291584488696,0.5486479087569686,0.04668738121714678
doc_10.txt,0.09357611117039102,0.9999999999999997,0.02620928319517814,0.036804626271848634,0.0581499260553019,0.058527111644144834,0.0711573427394303,0.025057537192800433,0.06232573092159636,0.043284138952710695,0.2525232016507085,0.039636169277260797,0.11881997239622803,0.07366573621854883,0.09143882393501165,0.09154626816096328,0.11702296580122833,0.12266531802939486,0.07176804983789198,0.06544162233677495
doc_17.txt,0.02229524961920669,0.02620928319517814,1.0000000000000002,0.07839748609121974,0.015495695921954742,0.0312882833557542,0.07406851106961523,0.011490847793350429,0.026622910336222858,0.0202807856185597,0.0347389598810183,0.0368245549790979,0.03159211866020341,0.02090599370758199,0.023037442564218937,0.029120243607976288,0.03272668218236642,0.045658972165391214,0.022385990553992135,0.03506243295785956
doc_18.txt,0.02089852019842331,0.036804626271848634,0.07839748609121974,1.0000000000000004,0.02643184067893466,0.1462808733141931,0.10339771982395889,0.053040502666872644,0.035686441930722596,0.023219074008008503,0.03007141026682923,0.024654591279856086,0.0380712476910646,0.027891298438091034,0.02225986965178634,0.016937891525110153,0.04645039173966255,0.11280002426582245,0.027343077778548483,0.09149913159871888
doc_2.txt,0.071865925864422,0.0581499260553019,0.015495695921954742,0.02643184067893466,1.0,0.11349122158235499,0.0409669117822113,0.04691521810389462,0.16126645351019753,0.046795821853478095,0.03821367806746625,0.02755328578194232,0.07043557450757161,0.07825292604917546,0.1084318776191151,0.08720805401973088,0.07908823702863252,0.04829126208088948,0.08539719139832463,0.08700547778298329
doc_21.txt,0.07865203091598504,0.058527111644144834,0.0312882833557542,0.1462808733141931,0.11349122158235499,1.0000000000000022,0.10904584246911311,0.19779115996858057,0.08636132657531943,0.09404078724689122,0.06563430840527561,0.05062572977340106,0.06484024640688635,0.06516392387346462,0.06629801893454426,0.07365021303114745,0.10832189113172283,0.16588649321157584,0.07995317771600455,0.1878613312950867
doc_22.txt,0.04975251005546744,0.0711573427394303,0.07406851106961523,0.10339771982395889,0.0409669117822113,0.10904584246911311,0.9999999999999992,0.05390268279137661,0.04422557319146239,0.04527817968921172,0.06139657536758938,0.07438034926207869,0.07620576938571531,0.047616384730777644,0.0340602326226675,0.05397192283510821,0.07701846540983479,0.10739616365321378,0.060170839725407745,0.06921420805105616
doc_23.txt,0.09560583095204475,0.025057537192800433,0.011490847793350429,0.053040502666872644,0.04691521810389462,0.19779115996858057,0.05390268279137661,1.0000000000000002,0.07940562994467569,0.026040454516352944,0.013627749720828105,0.02082811582191742,0.030352614800078274,0.031370002937890204,0.026811197520781503,0.08638306912918162,0.03703048031587612,0.03855840952139217,0.08882959743206469,0.0777189920426917
doc_24.txt,0.10418813390074629,0.06232573092159636,0.026622910336222858,0.035686441930722596,0.16126645351019753,0.08636132657531943,0.04422557319146239,0.07940562994467569,0.9999999999999997,0.10183691098021973,0.05670394473948326,0.05775172977220066,0.10091713853633141,0.1385299618890913,0.07874514625754493,0.11637561225551882,0.10611984285735018,0.08663121266682659,0.12030628229561839,0.10156436883769575
doc_25.txt,0.03471500128491725,0.043284138952710695,0.0202807856185597,0.023219074008008503,0.046795821853478095,0.09404078724689122,0.04527817968921172,0.026040454516352944,0.10183691098021973,0.999999999999999,0.21945545414932882,0.06530169080259945,0.5058303187179236,0.036745979929942926,0.06006132512898629,0.05389736373674288,0.050416447667958296,0.02524506509751412,0.039122212201194426,0.048300150579369934
doc_27.txt,0.05064289993903555,0.2525232016507085,0.0347389598810183,0.03007141026682923,0.03821367806746625,0.06563430840527561,0.06139657536758938,0.013627749720828105,0.05670394473948326,0.21945545414932882,1.0000000000000033,0.06969466529092595,0.2884189668422102,0.05379358888444691,0.054178477836478986,0.10907411341194853,0.1374579352523654,0.12418535022044858,0.053970348931232856,0.026697522831171907
doc_28.txt,0.026336967225970495,0.039636169277260797,0.0368245549790979,0.024654591279856086,0.02755328578194232,0.05062572977340106,0.07438034926207869,0.02082811582191742,0.05775172977220066,0.06530169080259945,0.06969466529092595,1.0000000000000013,0.0772666259559855,0.08562120829492345,0.034933277254997584,0.03825918061337526,0.08056250781276665,0.08342556375029117,0.04064473600477781,0.03376553042005045
doc_29.txt,0.06077254397627316,0.11881997239622803,0.03159211866020341,0.0380712476910646,0.07043557450757161,0.06484024640688635,0.07620576938571531,0.030352614800078274,0.10091713853633141,0.5058303187179236,0.2884189668422102,0.0772666259559855,0.9999999999999993,0.08091640164470064,0.0702063920245587,0.09894106326644231,0.11716734623859816,0.10304961981255087,0.06556943297089622,0.06034962481434537
doc_3.txt,0.07345110328653208,0.07366573621854883,0.02090599370758199,0.027891298438091034,0.07825292604917546,0.06516392387346462,0.047616384730777644,0.031370002937890204,0.1385299618890913,0.036745979929942926,0.05379358888444691,0.08562120829492345,0.08091640164470064,1.0,0.09378372133212713,0.05883874546408487,0.12656187002380367,0.0837307706933133,0.07651148770174221,0.07455508823333833
doc_4.txt,0.21834379834110884,0.09143882393501165,0.023037442564218937,0.02225986965178634,0.1084318776191151,0.06629801893454426,0.0340602326226675,0.026811197520781503,0.07874514625754493,0.06006132512898629,0.054178477836478986,0.034933277254997584,0.0702063920245587,0.09378372133212713,0.9999999999999997,0.0543254479075009,0.12331050337139632,0.04529178780962801,0.28906248768470455,0.04239915413658329
doc_5.txt,0.3967093655145048,0.09154626816096328,0.029120243607976288,0.016937891525110153,0.08720805401973088,0.07365021303114745,0.05397192283510821,0.08638306912918162,0.11637561225551882,0.05389736373674288,0.10907411341194853,0.03825918061337526,0.09894106326644231,0.05883874546408487,0.0543254479075009,1.0000000000000007,0.08390687471577044,0.07949144978066204,0.2452402236092247,0.08397154875306283
doc_6.txt,0.09433183931091894,0.11702296580122833,0.03272668218236642,0.04645039173966255,0.07908823702863252,0.10832189113172283,0.07701846540983479,0.03703048031587612,0.10611984285735018,0.050416447667958296,0.1374579352523654,0.08056250781276665,0.11716734623859816,0.12656187002380367,0.12331050337139632,0.08390687471577044,0.9999999999999999,0.12010480152505608,0.09720747479073627,0.08412305044700905
doc_7.txt,0.030334291584488696,0.12266531802939486,0.045658972165391214,0.11280002426582245,0.04829126208088948,0.16588649321157584,0.10739616365321378,0.03855840952139217,0.08663121266682659,0.02524506509751412,0.12418535022044858,0.08342556375029117,0.10304961981255087,0.0837307706933133,0.04529178780962801,0.07949144978066204,0.12010480152505608,1.0000000000000002,0.04484011207837332,0.12265759641516241
doc_8.txt,0.5486479087569686,0.07176804983789198,0.022385990553992135,0.027343077778548483,0.08539719139832463,0.07995317771600455,0.060170839725407745,0.08882959743206469,0.12030628229561839,0.039122212201194426,0.053970348931232856,0.04064473600477781,0.06556943297089622,0.07651148770174221,0.28906248768470455,0.2452402236092247,0.09720747479073627,0.04484011207837332,0.9999999999999991,0.055214923808130985
doc_9.txt,0.04668738121714678,0.06544162233677495,0.03506243295785956,0.09149913159871888,0.08700547778298329,0.1878613312950867,0.06921420805105616,0.0777189920426917,0.10156436883769575,0.048300150579369934,0.026697522831171907,0.03376553042005045,0.06034962481434537,0.07455508823333833,0.04239915413658329,0.08397154875306283,0.08412305044700905,0.12265759641516241,0.055214923808130985,1.0000000000000002
